collector_fullname,observation_subject,inat_upload,is_wild,taxon_name,no_name_on_list,name_proposition,sample_id,picture_panel,picture_general,picture_detail,picture_cut,picture_panel_label,picture_free,x_coord,y_coord,ipen,herbivory_(percent),comment_eco,soil_type,weather,temperature_(°C),comment_env,date,collector_orcid,collector_inat,extracted_id,geometry,latitude,longitude
Alexandra Slotte,Leaf,1,0,Arctostaphylos uva-ursi,0,,dbgi_008797,DCIM/jbc/Arctostaphylos uva-ursi_dbgi_008797_01.jpg,DCIM/jbc/Arctostaphylos uva-ursi_dbgi_008797_02.jpg,DCIM/jbc/Arctostaphylos uva-ursi_dbgi_008797_03.jpg,DCIM/jbc/Arctostaphylos uva-ursi_dbgi_008797_04.jpg,DCIM/jbc/Arctostaphylos uva-ursi_dbgi_008797_05.jpg,,2574738.502637531,1097950.1368366375,,,,,,,,20250520164158,,,dbgi_008797,POINT (46.03261655198875 7.112390768049691),7.112390768049691,46.03261655198875
Alexandra Slotte,Leaf,1,0,Rhododendron ferrugineum,0,,dbgi_008778,DCIM/jbc/Rhododendron ferrugineum_dbgi_008778_01.jpg,DCIM/jbc/Rhododendron ferrugineum_dbgi_008778_02.jpg,DCIM/jbc/Rhododendron ferrugineum_dbgi_008778_03.jpg,DCIM/jbc/Rhododendron ferrugineum_dbgi_008778_04.jpg,DCIM/jbc/Rhododendron ferrugineum_dbgi_008778_05.jpg,,2574727.381026663,1097948.32745915,,,,,,,,20250520165017,,,dbgi_008778,POINT (46.032599858301786 7.112247229349865),7.112247229349865,46.032599858301786
Alexandra Slotte,Leaf,1,0,Gentiana lutea,0,,dbgi_008774,DCIM/jbc/Gentiana lutea_dbgi_008774_01.jpg,DCIM/jbc/Gentiana lutea_dbgi_008774_02.jpg,DCIM/jbc/Gentiana lutea_dbgi_008774_03.jpg,DCIM/jbc/Gentiana lutea_dbgi_008774_04.jpg,DCIM/jbc/Gentiana lutea_dbgi_008774_05.jpg,,2574731.855872989,1097944.2512998304,,,,,,,,20250520170403,,,dbgi_008774,POINT (46.032563359719994 7.11230524201301),7.11230524201301,46.032563359719994
Alexandra Slotte,Leaf,1,0,Rhodiola heterodonta,0,,dbgi_008540,DCIM/jbc/Rhodiola heterodonta_dbgi_008540_01.jpg,DCIM/jbc/Rhodiola heterodonta_dbgi_008540_02.jpg,DCIM/jbc/Rhodiola heterodonta_dbgi_008540_03.jpg,DCIM/jbc/Rhodiola heterodonta_dbgi_008540_04.jpg,DCIM/jbc/Rhodiola heterodonta_dbgi_008540_05.jpg,,2574729.9528059848,1097944.0274095945,,,,,,,,20250520171151,,,dbgi_008540,POINT (46.03256127427164 7.112280675884516),7.112280675884516,46.03256127427164
Emilie Lab,Leaf,1,0,Iris sibirica,0,,dbgi_007157,DCIM/jbc/Iris sibirica_dbgi_007157_01.jpg,DCIM/jbc/Iris sibirica_dbgi_007157_02.jpg,DCIM/jbc/Iris sibirica_dbgi_007157_03.jpg,DCIM/jbc/Iris sibirica_dbgi_007157_04.jpg,DCIM/jbc/Iris sibirica_dbgi_007157_05.jpg,,2574740.9826554707,1097948.595207339,,,,,,,,20250520163421,,@emilie29964,dbgi_007157,POINT (46.03260277753585 7.112422880719765),7.112422880719765,46.03260277753585
Emilie Lab,Leaf,1,0,Potentilla ambigua ,0,,dbgi_006948,DCIM/jbc/Potentilla ambigua _dbgi_006948_01.jpg,DCIM/jbc/Potentilla ambigua _dbgi_006948_02.jpg,DCIM/jbc/Potentilla ambigua _dbgi_006948_03.jpg,DCIM/jbc/Potentilla ambigua _dbgi_006948_04.jpg,DCIM/jbc/Potentilla ambigua _dbgi_006948_05.jpg,,2574741.976268854,1097948.7815098483,,,,,,,,20250520164247,,@emilie29964,dbgi_006948,POINT (46.03260449069845 7.112435703252417),7.112435703252417,46.03260449069845
Emilie Lab,Leaf,1,0,Laserpitum silero,0,,dbgi_008802,DCIM/jbc/Laserpitum siler_dbgi_008802_01.jpg,DCIM/jbc/Laserpitum siler_dbgi_008802_02.jpg,DCIM/jbc/Laserpitum silero_dbgi_008802_03.jpg,DCIM/jbc/Laserpitum silero_dbgi_008802_04.jpg,DCIM/jbc/Laserpitum silero_dbgi_008802_05.jpg,,2574735.083076004,1097948.9057115214,,,,,,,,20250520164754,,@emilie29964,dbgi_008802,POINT (46.03260534914912 7.112346670576392),7.112346670576392,46.03260534914912
Emilie Lab,Leaf,1,0,Rhododendron hisurtum,0,,dbgi_008819,DCIM/jbc/Rhododendron hisurtum_dbgi_008819_01.jpg,DCIM/jbc/Rhododendron hisurtum_dbgi_008819_02.jpg,DCIM/jbc/Rhododendron hisurtum_dbgi_008819_03.jpg,DCIM/jbc/Rhododendron hisurtum_dbgi_008819_04.jpg,DCIM/jbc/Rhododendron hisurtum_dbgi_008819_05.jpg,,2574734.6483701486,1097949.4646190496,,,,,,,,20250520165125,,@emilie29964,dbgi_008819,POINT (46.032610360417436 7.112341026194328),7.112341026194328,46.032610360417436
Emilie Lab,Leaf,1,0,Allium cernuuml,0,,dbgi_008702,DCIM/jbc/Allium cernuuml_dbgi_008702_01.jpg,DCIM/jbc/Allium cernuum_dbgi_008702_02.jpg,DCIM/jbc/Allium cernuuml_dbgi_008702_03.jpg,DCIM/jbc/Allium cernuuml_dbgi_008702_04.jpg,DCIM/jbc/Allium cernuuml_dbgi_008702_05.jpg,,2574732.797854314,1097949.5398817048,,,,,,,,20250520165453,,@emilie29964,dbgi_008702,POINT (46.03261096794703 7.11231712261609),7.11231712261609,46.03261096794703
Emilie Lab,Leaf,1,0,Erysium ochroleucum.,0,,dbgi_008775,DCIM/jbc/Erysium ochroleucum._dbgi_008775_01.jpg,DCIM/jbc/Erysium ochroleucum_dbgi_008775_02.jpg,DCIM/jbc/Erysium ochroleucum._dbgi_008775_03.jpg,DCIM/jbc/Erysium ochroleucum._dbgi_008775_04.jpg,DCIM/jbc/Erysium ochroleucum._dbgi_008775_05.jpg,,2574731.7874103626,1097948.1779789887,,,,,,,,20250520170109,,@emilie29964,dbgi_008775,POINT (46.03259867915721 7.1123041461021606),7.1123041461021606,46.03259867915721
